obstime,tempr,ap,ws,wd,rh
06-02-2015 00:00,-1.59,962.75,9.2,119.28,NaN
06-02-2015 01:00,-1.26,962.64,8.85,123.86,NaN
06-02-2015 02:00,-0.57,962.71,7.19,122.56,NaN
06-02-2015 03:00,0,962.94,6.91,122.74,NaN
06-02-2015 04:00,0.56,963.31,7.48,110.36,NaN
06-02-2015 05:00,1.03,963.98,7.48,109.54,NaN
06-02-2015 06:00,1.58,964.72,8.03,99.07,NaN
06-02-2015 07:00,1.95,965.41,7.76,98.79,NaN
06-02-2015 08:00,1.6,965.87,8.32,100.95,NaN
06-02-2015 09:00,1.21,966.49,8.37,106.72,NaN
06-02-2015 10:00,1.08,967.45,6.87,98.5,NaN
06-02-2015 11:00,0.49,968.06,6.61,100.67,NaN
06-02-2015 12:00,0.4,968.82,5.64,97.05,NaN
06-02-2015 13:00,0.49,969.82,4.52,88.22,NaN
06-02-2015 14:00,0.22,970.82,5.14,62.32,NaN
06-02-2015 15:00,0,971.74,6.07,55.91,NaN
06-02-2015 16:00,-0.22,972.58,5.79,61.71,NaN
06-02-2015 17:00,-0.58,973.4,6.13,65.37,NaN
06-02-2015 18:00,-0.76,974.49,7.26,55.3,NaN
06-02-2015 19:00,-1,975.75,7.74,53.3,NaN
06-02-2015 20:00,-1.12,976.97,7.31,51.44,NaN
06-02-2015 21:00,-1.32,978.22,7.49,52.39,NaN
06-02-2015 22:00,-1.73,979.37,7.45,49.59,NaN
06-02-2015 23:00,-1.53,980.41,7.21,54.18,NaN
07-02-2015 00:00,-1.32,981.25,7.59,50.76,NaN
07-02-2015 01:00,-0.89,982.14,8.08,53.95,NaN
07-02-2015 02:00,-0.53,982.88,6.96,66.48,NaN
07-02-2015 03:00,-0.21,983.49,6.65,57.12,NaN
07-02-2015 04:00,0.07,984.03,5.97,60.22,NaN
07-02-2015 05:00,1.05,984.29,4.59,72.82,NaN
07-02-2015 06:00,1.21,984.59,4.69,67.03,NaN
07-02-2015 07:00,1.43,984.86,3.66,67.86,NaN
07-02-2015 08:00,1.32,984.85,2.79,56.98,NaN
