obstime,tempr,ap,ws,wd,rh
1985-02-26,-10.0,983.025,16.125,11.75,64.875
1985-02-27,-12.625,981.575,5.875,29.25,58.625
1985-02-28,-17.1875,983.775,3.0,99.0,55.125
1985-03-01,-507.625,986.3375,19.125,-493.625,-999.0
1985-03-02,-257.3125,497.75,33.875,-243.0,-224.125
1985-03-03,-10.0625,998.8875,23.5,20.25,35.25
1985-03-04,-16.125,997.825,5.5,68.25,-223.75
1985-03-05,-10.9375,985.4125,24.875,10.0,34.375
1985-03-06,-10.75,982.3125,27.375,11.0,33.125
1985-03-07,-6.75,976.775,40.25,9.25,31.5
1985-03-08,-7.5,976.5,19.625,11.375,31.125
1985-03-09,-6.8125,978.1125,8.75,25.125,32.875
1985-03-10,-8.875,981.0625,9.75,32.25,33.0
1985-03-11,-14.3125,981.2625,4.625,23.75,31.125
1985-03-12,-16.0625,984.6,7.0,36.125,30.0
1985-03-13,-15.5625,993.925,6.875,52.125,30.0
1985-03-14,-12.125,985.475,14.625,27.0,30.0
1985-03-15,-15.625,985.5,4.625,14.25,-355.875
1985-03-16,-18.375,992.75,14.5,11.0,-741.75
1985-03-17,-16.25,999.275,21.875,9.5,-98.625
1985-03-18,-12.25,994.4125,-84.25,-117.0,-999.0
1985-03-19,-10.75,986.5875,-999.0,-999.0,-999.0
1985-03-20,-9.25,984.475,-999.0,-999.0,-999.0
1985-03-21,-6.5,976.5375,-999.0,-999.0,-611.0
1985-03-22,-6.0,984.75,23.125,9.5,-999.0
1985-03-23,-10.875,990.0625,5.875,55.125,-999.0
1985-03-24,-12.625,983.6875,3.75,99.0,-999.0
1985-03-25,-16.375,988.925,2.125,51.5,-999.0
1985-03-26,-16.75,992.125,18.0,20.875,-999.0
1985-03-27,-16.875,978.8125,-741.75,-495.0,-999.0
1985-03-28,-13.25,975.8125,-999.0,-999.0,-999.0
1985-03-29,-14.3125,981.4875,25.75,9.0,-999.0
1985-03-30,-15.75,984.675,18.375,9.0,-352.5
1985-03-31,-21.75,977.8125,11.0,12.5,36.375
1985-04-01,-19.75,970.7625,21.375,9.625,37.125
1985-04-02,-15.25,975.7625,11.375,32.0,33.0
1985-04-03,-15.875,978.3,4.5,88.0,-870.0
1985-04-04,-16.75,978.9375,14.0,10.5,33.0
1985-04-05,-16.875,976.15,16.5,10.25,-354.0
1985-04-06,-18.125,965.9625,10.0,42.5,32.75
1985-04-07,-10.625,973.475,18.5,31.5,-741.0
1985-04-08,-8.75,988.975,30.75,9.0,-999.0
1985-04-09,-7.875,986.75,55.0,9.0,-999.0
1985-04-10,-7.375,982.7,34.375,9.0,33.0
1985-04-11,-10.625,972.975,52.5,9.0,33.75
1985-04-12,-10.0,966.1625,21.0,11.5,33.375
1985-04-13,-6.75,966.0625,26.625,11.375,33.0
1985-04-14,-12.75,975.975,20.625,32.25,33.0
1985-04-15,-25.375,985.0625,6.5,45.875,-999.0
1985-04-16,-28.0,983.4125,5.75,78.875,-483.5
1985-04-17,-27.0,981.975,10.625,35.25,32.0
1985-04-18,-19.625,999.225,19.375,11.625,-354.0
1985-04-19,-18.375,1004.8875,22.0,9.5,-483.0
1985-04-20,-21.0,998.775,14.5,11.625,-999.0
1985-04-21,-23.25,989.9,13.5,14.0,-999.0
1985-04-22,-24.375,993.025,16.375,14.25,-999.0
1985-04-23,-144.25,746.1625,-105.875,-115.125,-999.0
1985-04-24,-17.375,995.55,34.75,9.0,-999.0
1985-04-25,-13.625,984.15,34.25,9.75,-999.0
1985-04-26,-9.125,977.3,23.875,12.5,-999.0
1985-04-27,-8.625,980.7375,29.125,10.0,-999.0
1985-04-28,-14.875,984.15,26.625,12.875,-999.0
1985-04-29,-14.875,990.05,43.25,9.0,-999.0
1985-04-30,-14.125,994.25,34.75,9.0,-999.0
1985-05-01,-14.75,987.85,26.625,10.25,-999.0
1985-05-02,-20.5,990.65,14.75,11.875,-999.0
1985-05-03,-26.875,996.2625,5.25,10.5,-999.0
1985-05-04,-29.0,1000.1125,7.5,24.625,-999.0
1985-05-05,-22.5,990.875,30.0,9.5,-999.0
